RLD,RS,TE_code,active_ingredients,company,dosageform_route,drug_class,drug_name,marketing_status,review_priority,strength,use,rare,hereditary,medical_area,specific,gender,year
TBD,No,None,necitumumab,ELI LILLY CO,"INJECTABLE;INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVITREAL",,Portrazza,Prescription,N/A,800MG/50ML,To treat patients with advanced (metastatic) squamous non-small cell lung cancer (NSCLC) who have not previously received medication specifically for treating their advanced lung cancer,no,no,cancer,Lung,adults,11/24/2015
No,No,None,elotuzumab,BRISTOL MYERS SQUIBB,INJECTABLE;INJECTION,,Empliciti,Prescription,N/A; Orphan,300MG,"
			",no,no,cancer,Myeloma,adults,11/30/2015
No,No,None,elotuzumab,BRISTOL MYERS SQUIBB,INJECTABLE;INJECTION,,Empliciti,Prescription,N/A; Orphan,400MG,"
			",no,no,cancer,Myeloma,adults,11/30/2015
No,No,None,sebelipase alfa,ALEXION PHARM,INJECTABLE;INJECTION,,Kanuma,Prescription,N/A; Orphan,20MG/10ML,To treat patients with a rare disease known as lysosomal acid lipase (LAL) deficiency,yes,no,digestive,lipids and cholesterol metabolism,adults,12/8/2015
Yes,Yes,None,alectinib,HOFFMANN-LA ROCHE,CAPSULE;ORAL,Type 1 - New Molecular Entity,Alecensa,Prescription,PRIORITY; Orphan,EQ 150MG BASE,To treat ALK-positive lung cancer,no,no,cancer,Lung,adults,12/11/2015
Yes,Yes,None,sugammadex,ORGANON SUB MERCK,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Bridion,Prescription,PRIORITY,EQ 500MG BASE/5ML (EQ 100MG BASE/ML),"
			",no,no,nervous system,neurology,adults,12/15/2015
Yes,No,None,sugammadex,ORGANON SUB MERCK,SOLUTION;INTRAVENOUS,Type 1 - New Molecular Entity,Bridion,Prescription,PRIORITY,EQ 200MG BASE/2ML (EQ 100MG BASE/ML),"
			",no,no,nervous system,nervous system,adults,12/15/2015
Yes,No,None,selexipag,ACTELION,TABLET;ORAL,Type 1 - New Molecular Entity,Uptravi,Prescription,STANDARD; Orphan,0.2MG,To treat pulmonary arterial hypertension,no,no,cardiovascular,lung blood pressure,adults,12/21/2015
Yes,Yes,None,selexipag,ACTELION,TABLET;ORAL,Type 1 - New Molecular Entity,Uptravi,Prescription,STANDARD; Orphan,0.4MG,To treat pulmonary arterial hypertension,no,no,cardiovascular,lung blood pressure,adults,12/21/2015
Yes,No,None,selexipag,ACTELION,TABLET;ORAL,Type 1 - New Molecular Entity,Uptravi,Prescription,STANDARD; Orphan,0.6MG,To treat pulmonary arterial hypertension,no,no,cardiovascular,lung blood pressure,adults,12/21/2015
